                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.45479,                0.35839,                0.95767,                0.87019,                0.79202,                0.84993,                0.65486,                0.83948,                0.69612,                 1.2855,             0.00081983,             0.00081983,             0.00081983
                     79,                0.46296,                 0.3663,                0.95934,                0.83826,                0.76146,                0.81435,                0.62512,                0.84098,                 0.7164,                 1.2457,             0.00080883,             0.00080883,             0.00080883
                     80,                0.45117,                0.35489,                0.95446,                0.82351,                0.79575,                0.83446,                0.63734,                0.90335,                0.70378,                 1.3175,             0.00079783,             0.00079783,             0.00079783
                     81,                0.46548,                0.37109,                0.96209,                0.89918,                0.76575,                0.83227,                0.63991,                0.84202,                 0.7386,                 1.2503,             0.00078682,             0.00078682,             0.00078682
                     82,                0.45495,                0.35889,                0.95171,                0.82793,                0.76976,                0.82356,                0.62861,                0.89316,                0.79847,                  1.285,             0.00077582,             0.00077582,             0.00077582
                     83,                 0.4553,                 0.3669,                0.94879,                0.88863,                0.75249,                0.83305,                0.65021,                0.88748,                0.76754,                  1.281,             0.00076482,             0.00076482,             0.00076482
                     84,                0.44688,                0.35535,                0.94636,                0.86755,                0.76815,                0.84443,                0.62701,                0.90118,                0.74636,                 1.3188,             0.00075382,             0.00075382,             0.00075382
                     85,                0.43901,                0.35182,                0.94608,                0.86399,                0.75814,                0.84422,                0.63354,                0.88503,                 0.7359,                 1.3339,             0.00074282,             0.00074282,             0.00074282
                     86,                 0.4372,                0.34767,                0.94567,                0.87198,                0.71714,                0.83955,                0.63476,                0.87408,                0.72661,                 1.3051,             0.00073181,             0.00073181,             0.00073181
                     87,                0.43702,                0.34414,                0.94652,                0.83631,                0.79557,                0.84231,                0.64505,                0.87854,                0.65821,                 1.3146,             0.00072081,             0.00072081,             0.00072081
                     88,                0.44419,                0.35054,                0.95218,                0.85128,                0.77977,                 0.8309,                0.63932,                0.89066,                0.75257,                 1.2937,             0.00070981,             0.00070981,             0.00070981
                     89,                0.43713,                 0.3464,                0.94576,                0.84047,                0.75622,                0.81761,                0.62805,                0.89605,                0.72729,                  1.287,             0.00069881,             0.00069881,             0.00069881
                     90,                0.42729,                0.34031,                0.94348,                0.85068,                0.78208,                0.84126,                0.64989,                0.86669,                0.78274,                  1.324,              0.0006878,              0.0006878,              0.0006878
                     91,                0.42401,                0.34017,                0.93389,                0.83767,                0.80837,                0.84541,                 0.6466,                0.88547,                0.68867,                 1.3197,              0.0006768,              0.0006768,              0.0006768
                     92,                 0.4186,                0.33186,                0.93145,                 0.8773,                0.73773,                0.81694,                0.62222,                0.89058,                0.74465,                 1.2984,              0.0006658,              0.0006658,              0.0006658
                     93,                0.41995,                0.33085,                0.93998,                0.81963,                 0.7761,                0.83108,                0.64473,                0.87586,                0.75552,                 1.2696,              0.0006548,              0.0006548,              0.0006548
                     94,                0.42306,                 0.3364,                0.93578,                0.82476,                0.78802,                0.84019,                 0.6541,                0.88051,                0.68354,                 1.3349,              0.0006438,              0.0006438,              0.0006438
                     95,                0.42031,                0.33316,                0.94092,                0.83724,                0.77559,                0.83348,                 0.6434,                0.85839,                0.66316,                 1.3141,             0.00063279,             0.00063279,             0.00063279
                     96,                0.41836,                0.32429,                0.93431,                 0.8402,                0.80538,                0.84986,                0.65534,                0.89345,                0.71383,                 1.3378,             0.00062179,             0.00062179,             0.00062179
                     97,                0.41408,                 0.3289,                0.93386,                0.85172,                0.76217,                0.82146,                0.63729,                0.85551,                0.71248,                 1.2975,             0.00061079,             0.00061079,             0.00061079
                     98,                0.42053,                0.32479,                0.93522,                0.84427,                0.74351,                0.82067,                0.62688,                0.88493,                0.76694,                 1.3247,             0.00059979,             0.00059979,             0.00059979
                     99,                0.40357,                 0.3215,                0.93448,                0.82586,                0.81437,                 0.8395,                0.65038,                0.86557,                0.73166,                 1.2713,             0.00058878,             0.00058878,             0.00058878
                    100,                0.40776,                0.32255,                0.93076,                0.89586,                0.72415,                0.82467,                  0.638,                0.87797,                0.78049,                 1.3014,             0.00057778,             0.00057778,             0.00057778
                    101,                 0.4003,                0.32464,                0.92761,                0.83372,                0.76368,                0.82882,                0.62642,                0.90234,                0.82932,                 1.3498,             0.00056678,             0.00056678,             0.00056678
                    102,                0.40133,                0.31935,                0.92836,                0.85002,                0.76741,                0.84137,                0.64958,                0.85102,                0.71675,                 1.2758,             0.00055578,             0.00055578,             0.00055578
                    103,                0.40666,                0.31964,                0.93531,                0.84743,                0.79629,                0.85188,                0.66166,                0.84051,                0.70483,                 1.2853,             0.00054478,             0.00054478,             0.00054478
                    104,                0.41027,                0.31812,                0.93207,                0.86337,                  0.754,                0.84069,                0.64698,                0.87052,                0.83406,                  1.296,             0.00053377,             0.00053377,             0.00053377
                    105,                  0.394,                0.31133,                0.92214,                0.82132,                0.80596,                0.84029,                0.64849,                0.88359,                0.72168,                  1.334,             0.00052277,             0.00052277,             0.00052277
                    106,                0.39919,                 0.3138,                0.92464,                  0.834,                0.77838,                0.83663,                0.64937,                0.85325,                0.72963,                 1.3027,             0.00051177,             0.00051177,             0.00051177
                    107,                0.40078,                0.31544,                0.92623,                0.85671,                0.76066,                0.83217,                0.64927,                0.84705,                0.75314,                 1.2946,             0.00050077,             0.00050077,             0.00050077
                    108,                0.38429,                0.30678,                0.92402,                0.87413,                0.77489,                0.82312,                0.63698,                0.88553,                 0.7588,                 1.3374,             0.00048976,             0.00048976,             0.00048976
                    109,                0.38571,                0.30811,                0.91999,                0.87063,                0.78302,                0.83821,                 0.6525,                0.86764,                0.76456,                 1.3317,             0.00047876,             0.00047876,             0.00047876
                    110,                0.38708,                0.30793,                0.92175,                0.83378,                0.77209,                0.83297,                0.63658,                 0.8752,                0.80904,                 1.2986,             0.00046776,             0.00046776,             0.00046776
                    111,                0.36656,                0.29296,                0.91016,                0.84169,                0.77861,                0.84159,                0.64731,                0.84759,                0.71927,                 1.3038,             0.00045676,             0.00045676,             0.00045676
                    112,                0.38315,                0.29764,                0.92169,                0.79915,                0.81453,                 0.8299,                0.64398,                0.86993,                0.75031,                 1.2936,             0.00044576,             0.00044576,             0.00044576
                    113,                0.38032,                0.29949,                0.91633,                0.83942,                0.77337,                0.83121,                0.64772,                0.85162,                0.77889,                 1.3003,             0.00043475,             0.00043475,             0.00043475
                    114,                0.38142,                0.29981,                0.92084,                 0.8889,                0.73907,                0.82949,                0.63855,                0.85441,                0.75323,                  1.296,             0.00042375,             0.00042375,             0.00042375
                    115,                0.37534,                0.29813,                0.91782,                0.88113,                0.74918,                0.82896,                0.63797,                0.84686,                0.73801,                 1.2707,             0.00041275,             0.00041275,             0.00041275
                    116,                0.36797,                0.29405,                0.91486,                 0.8331,                0.77559,                0.85028,                0.66119,                 0.8202,                0.71305,                 1.2402,             0.00040175,             0.00040175,             0.00040175
                    117,                0.38227,                0.30357,                0.91812,                0.86214,                0.75098,                0.82638,                0.64724,                0.84888,                0.79799,                 1.3034,             0.00039074,             0.00039074,             0.00039074
                    118,                0.36051,                0.29114,                0.91659,                0.86152,                0.76042,                0.84266,                0.65981,                0.83979,                0.78312,                  1.291,             0.00037974,             0.00037974,             0.00037974
                    119,                0.36769,                0.29189,                0.91414,                0.90016,                0.74098,                0.84199,                0.65697,                0.86999,                0.70834,                 1.3321,             0.00036874,             0.00036874,             0.00036874
                    120,                0.36967,                 0.2937,                0.91661,                 0.8334,                0.80871,                0.84585,                0.66423,                0.83039,                0.73562,                 1.2698,             0.00035774,             0.00035774,             0.00035774
                    121,                0.36086,                0.28529,                0.91607,                  0.908,                0.72045,                0.84159,                0.65392,                0.83441,                 0.7183,                 1.2812,             0.00034674,             0.00034674,             0.00034674
                    122,                0.36318,                0.29245,                0.91521,                0.82895,                0.79446,                0.84317,                0.65394,                0.85382,                0.75604,                 1.2828,             0.00033573,             0.00033573,             0.00033573
                    123,                0.36128,                0.29007,                0.91238,                0.88368,                0.76368,                0.84214,                0.65474,                0.88058,                0.74733,                 1.3184,             0.00032473,             0.00032473,             0.00032473
                    124,                0.35742,                0.28381,                0.90886,                0.86285,                0.76449,                0.84131,                0.65515,                0.83946,                0.75352,                 1.2877,             0.00031373,             0.00031373,             0.00031373
                    125,                0.34934,                0.27877,                0.90792,                0.82361,                0.79673,                0.84723,                0.66362,                 0.8417,                0.75431,                 1.2826,             0.00030273,             0.00030273,             0.00030273
                    126,                0.35416,                0.28171,                0.90462,                0.87574,                0.75249,                0.84346,                0.65878,                0.83231,                0.74367,                 1.2944,             0.00029172,             0.00029172,             0.00029172
                    127,                0.34696,                 0.2842,                0.91552,                0.91123,                0.71597,                0.83402,                0.64548,                0.88115,                0.80163,                   1.33,             0.00028072,             0.00028072,             0.00028072
                    128,                0.34507,                0.27523,                0.90984,                0.84145,                0.75629,                0.82906,                 0.6508,                0.86763,                0.77315,                 1.3202,             0.00026972,             0.00026972,             0.00026972
                    129,                0.35038,                0.28035,                0.90653,                0.83608,                0.77945,                0.84235,                0.65999,                0.85215,                0.80053,                 1.2879,             0.00025872,             0.00025872,             0.00025872
                    130,                0.35134,                  0.279,                0.91371,                0.85401,                0.76037,                0.83478,                0.65517,                0.82673,                0.76553,                 1.2774,             0.00024772,             0.00024772,             0.00024772
                    131,                0.34471,                0.27474,                 0.9062,                0.85727,                0.77096,                0.83285,                0.64535,                0.86285,                 0.7884,                 1.3091,             0.00023671,             0.00023671,             0.00023671
                    132,                0.32793,                0.26393,                0.90619,                0.86343,                0.75954,                 0.8398,                0.65912,                0.82933,                0.73977,                 1.2871,             0.00022571,             0.00022571,             0.00022571
                    133,                0.34286,                0.27661,                0.90911,                0.88433,                0.76473,                0.84401,                0.65386,                 0.8383,                0.69871,                 1.2987,             0.00021471,             0.00021471,             0.00021471
                    134,                0.34057,                0.27249,                0.90687,                0.83399,                0.80291,                0.84401,                0.65586,                0.83692,                0.72955,                 1.3066,             0.00020371,             0.00020371,             0.00020371
                    135,                0.33146,                0.26864,                0.90229,                0.84014,                 0.8156,                0.85639,                0.67041,                0.82472,                0.71083,                 1.2918,             0.00019271,             0.00019271,             0.00019271
                    136,                 0.3338,                 0.2681,                0.89896,                 0.8632,                0.78466,                0.85525,                 0.6677,                0.82245,                0.76202,                 1.2818,              0.0001817,              0.0001817,              0.0001817
                    137,                 0.3318,                0.26585,                 0.8995,                0.89978,                0.74431,                0.85629,                0.66825,                 0.8326,                0.74376,                 1.2936,              0.0001707,              0.0001707,              0.0001707
                    138,                0.32521,                0.25852,                0.90356,                0.84668,                0.78607,                0.85129,                0.66302,                0.83108,                 0.7338,                 1.2852,              0.0001597,              0.0001597,              0.0001597
                    139,                 0.3271,                0.26753,                0.89858,                0.89062,                0.75773,                0.85109,                0.66279,                 0.8402,                0.75384,                 1.2983,              0.0001487,              0.0001487,              0.0001487
                    140,                0.32229,                0.26446,                0.89588,                0.84498,                0.79051,                  0.853,                0.66235,                0.84993,                0.76299,                 1.3166,             0.00013769,             0.00013769,             0.00013769
                    141,                0.31832,                 0.2436,                0.86475,                0.83773,                 0.7956,                0.84286,                0.65672,                0.84842,                0.73697,                 1.2949,             0.00012669,             0.00012669,             0.00012669
                    142,                0.30375,                0.22485,                0.85823,                0.85234,                0.79273,                0.84956,                0.66416,                0.83318,                0.73441,                 1.3103,             0.00011569,             0.00011569,             0.00011569
                    143,                0.29753,                0.22614,                 0.8611,                0.87134,                0.79033,                0.85501,                0.66652,                0.82094,                0.73697,                 1.2808,             0.00010469,             0.00010469,             0.00010469
                    144,                0.29671,                0.21646,                0.84717,                0.82124,                0.83189,                0.85436,                0.66753,                0.83621,                0.74616,                 1.2801,             9.3685e-05,             9.3685e-05,             9.3685e-05
                    145,                0.30118,                0.22324,                0.85061,                0.80267,                0.83822,                0.86071,                0.67154,                0.82966,                0.74698,                 1.2655,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    146,                0.28803,                0.21442,                0.85588,                 0.8637,                0.77463,                0.84992,                0.66696,                0.83829,                 0.7364,                 1.2774,             7.1681e-05,             7.1681e-05,             7.1681e-05
                    147,                0.28749,                0.21372,                0.84622,                0.86681,                 0.7672,                0.84197,                0.66239,                0.83249,                0.72743,                 1.2846,             6.0679e-05,             6.0679e-05,             6.0679e-05
                    148,                0.28692,                0.21345,                0.85185,                0.86116,                0.77691,                0.84248,                0.65912,                0.83453,                0.74877,                 1.2816,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    149,                0.27814,                0.20878,                0.84834,                0.84956,                0.79051,                0.84245,                0.66078,                0.82735,                0.73536,                 1.2761,             3.8674e-05,             3.8674e-05,             3.8674e-05
                    150,                0.28707,                0.21127,                0.85727,                0.85658,                0.77932,                0.84502,                 0.6672,                0.82383,                0.74213,                 1.2748,             2.7672e-05,             2.7672e-05,             2.7672e-05
