                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95584,                 1.8382,                 1.2822,                0.90035,                0.31343,                0.66901,                 0.4735,                  1.029,                 2.1683,                 1.3335,              0.0005467,              0.0005467,              0.0005467
                      2,                0.96659,                 1.2465,                 1.2803,                 0.6694,                0.55447,                0.60463,                0.38177,                 1.3057,                 1.8089,                 1.6272,              0.0010951,              0.0010951,              0.0010951
                      3,                0.98156,                 1.1502,                 1.2888,                0.77003,                0.67644,                0.69661,                0.43927,                 1.3061,                 1.3998,                 1.6531,              0.0016362,              0.0016362,              0.0016362
                      4,                0.97625,                 1.0498,                 1.2644,                0.79187,                0.57951,                 0.6862,                0.43836,                 1.3119,                 1.5705,                 1.6966,               0.001634,               0.001634,               0.001634
                      5,                0.94862,                0.99138,                 1.2586,                0.84308,                0.67814,                0.74633,                0.48978,                 1.2452,                 1.3051,                 1.5126,               0.001623,               0.001623,               0.001623
                      6,                0.92205,                0.95244,                 1.2487,                0.77838,                0.66957,                0.74278,                0.48842,                 1.2969,                 1.3521,                 1.5844,               0.001612,               0.001612,               0.001612
                      7,                0.92284,                0.92393,                 1.2448,                0.86066,                0.69741,                0.79832,                0.55786,                 1.1095,                 1.0067,                 1.4692,               0.001601,               0.001601,               0.001601
                      8,                0.88307,                0.86557,                 1.2175,                0.80374,                 0.7078,                0.78637,                 0.5532,                 1.0741,                 1.0216,                 1.4133,                0.00159,                0.00159,                0.00159
                      9,                0.86443,                0.84195,                 1.2044,                0.82758,                0.69065,                0.79285,                0.55291,                 1.0734,                0.96376,                 1.3706,               0.001579,               0.001579,               0.001579
                     10,                0.85989,                0.81721,                 1.2033,                0.87716,                 0.7485,                0.81483,                0.58026,                  1.026,                0.90033,                 1.3804,               0.001568,               0.001568,               0.001568
                     11,                0.84348,                0.78428,                 1.1787,                0.80969,                0.77154,                0.80216,                0.54458,                 1.1284,                0.99604,                 1.4732,               0.001557,               0.001557,               0.001557
                     12,                0.83878,                0.78628,                 1.1883,                0.83214,                0.68155,                0.75292,                0.52384,                 1.0789,                 1.0249,                   1.42,               0.001546,               0.001546,               0.001546
                     13,                0.81728,                0.74192,                 1.1789,                0.87172,                 0.6839,                0.78219,                0.53676,                 1.1364,                  0.986,                 1.4144,               0.001535,               0.001535,               0.001535
                     14,                0.80642,                0.75245,                 1.1697,                0.87463,                 0.6735,                0.77013,                0.54537,                  1.113,                0.93221,                 1.4403,               0.001524,               0.001524,               0.001524
                     15,                0.79484,                0.71754,                  1.159,                0.83833,                0.71595,                0.79938,                0.57495,                   1.05,                0.94955,                 1.3637,               0.001513,               0.001513,               0.001513
                     16,                0.77544,                0.68426,                 1.1409,                0.80842,                 0.7771,                 0.8124,                0.58444,                 1.0377,                0.88969,                 1.3583,               0.001502,               0.001502,               0.001502
                     17,                0.74838,                0.67143,                 1.1227,                0.84935,                0.76912,                0.83788,                0.61815,                 1.0062,                0.81385,                 1.3278,               0.001491,               0.001491,               0.001491
                     18,                0.74608,                0.66192,                 1.1269,                0.86388,                0.70025,                0.79753,                0.54646,                 1.0629,                  1.025,                 1.4132,                0.00148,                0.00148,                0.00148
                     19,                0.74175,                0.64518,                 1.1191,                0.88449,                0.75049,                0.80902,                0.58638,                 0.9899,                0.77738,                 1.3114,               0.001469,               0.001469,               0.001469
                     20,                0.76321,                0.67093,                 1.1205,                 0.8103,                0.70629,                0.78455,                0.56238,                0.98107,                0.88126,                  1.329,               0.001458,               0.001458,               0.001458
                     21,                0.72688,                0.63517,                  1.103,                 0.8356,                0.74572,                0.79388,                0.57262,                 1.0615,                0.89343,                 1.4137,               0.001447,               0.001447,               0.001447
                     22,                0.73194,                0.62461,                 1.1084,                0.89334,                0.66674,                0.77575,                0.55556,                 1.0298,                0.96818,                 1.4008,               0.001436,               0.001436,               0.001436
                     23,                0.71299,                0.61476,                 1.1026,                0.79833,                0.80352,                0.82858,                0.59336,                0.97658,                0.74082,                 1.2954,               0.001425,               0.001425,               0.001425
                     24,                0.72457,                0.62313,                 1.1104,                0.80689,                0.77861,                0.81525,                0.57041,                 1.0098,                0.79007,                 1.3515,              0.0014139,              0.0014139,              0.0014139
                     25,                0.69289,                0.60254,                 1.0813,                0.87988,                0.78745,                0.83839,                0.60508,                0.96885,                0.73324,                 1.3426,              0.0014029,              0.0014029,              0.0014029
                     26,                0.67237,                0.58249,                 1.0757,                0.83049,                0.74663,                0.80458,                0.56796,                 1.0207,                 0.8824,                 1.3622,              0.0013919,              0.0013919,              0.0013919
                     27,                 0.6637,                0.56906,                  1.068,                0.81839,                0.76477,                 0.7949,                0.59307,                0.97009,                0.81366,                 1.3195,              0.0013809,              0.0013809,              0.0013809
                     28,                0.67153,                0.56891,                 1.0708,                0.90188,                0.70246,                0.81641,                0.59435,                  1.004,                0.85119,                 1.3962,              0.0013699,              0.0013699,              0.0013699
                     29,                0.66911,                0.56576,                 1.0651,                 0.8863,                0.73836,                0.83979,                0.62216,                 0.9421,                0.78367,                 1.2843,              0.0013589,              0.0013589,              0.0013589
                     30,                0.65459,                0.55687,                 1.0673,                0.89893,                0.73283,                0.81342,                0.58196,                0.99374,                0.79245,                 1.3524,              0.0013479,              0.0013479,              0.0013479
                     31,                0.64153,                0.53697,                 1.0542,                0.85393,                0.72581,                0.79611,                0.56389,                0.95109,                0.87696,                 1.3728,              0.0013369,              0.0013369,              0.0013369
                     32,                0.65268,                0.54671,                   1.06,                0.82025,                0.77861,                0.82691,                0.60884,                 1.0249,                0.78769,                 1.3525,              0.0013259,              0.0013259,              0.0013259
                     33,                0.63481,                0.53376,                  1.057,                0.80296,                0.80265,                0.82918,                0.61554,                0.96157,                0.79158,                 1.3471,              0.0013149,              0.0013149,              0.0013149
                     34,                0.63203,                0.53447,                 1.0571,                0.87487,                0.75137,                0.80855,                0.56145,                 1.0588,                  0.758,                 1.4428,              0.0013039,              0.0013039,              0.0013039
                     35,                0.63309,                0.53126,                 1.0465,                0.87359,                0.72056,                   0.82,                0.57839,                 1.0971,                0.85341,                 1.4654,              0.0012929,              0.0012929,              0.0012929
                     36,                0.62116,                0.51307,                 1.0419,                0.87294,                0.75107,                0.82118,                0.56683,                 1.0901,                0.88795,                 1.4039,              0.0012819,              0.0012819,              0.0012819
                     37,                0.61774,                0.50868,                  1.039,                0.80217,                0.78527,                0.82321,                0.61167,                0.96036,                0.74165,                 1.3552,              0.0012709,              0.0012709,              0.0012709
                     38,                0.60434,                0.49955,                 1.0322,                0.82748,                0.75098,                0.79982,                0.60236,                0.95285,                0.75444,                 1.2917,              0.0012599,              0.0012599,              0.0012599
                     39,                0.62136,                0.51528,                 1.0404,                0.86041,                0.74055,                0.82226,                0.61222,                0.92425,                0.71302,                 1.3146,              0.0012489,              0.0012489,              0.0012489
                     40,                0.60325,                0.48791,                 1.0282,                0.87739,                0.74011,                0.82959,                0.60059,                0.98821,                0.78308,                 1.3599,              0.0012379,              0.0012379,              0.0012379
                     41,                0.59083,                0.47944,                 1.0291,                0.85573,                0.75631,                 0.8226,                0.59653,                      1,                 0.7689,                 1.3352,              0.0012269,              0.0012269,              0.0012269
                     42,                0.58896,                0.47867,                 1.0223,                0.80255,                0.78312,                0.82748,                0.61735,                0.89657,                0.75925,                 1.3009,              0.0012159,              0.0012159,              0.0012159
                     43,                0.58875,                0.46736,                 1.0186,                0.82628,                 0.7667,                0.81593,                0.60556,                0.98983,                0.75745,                 1.3296,              0.0012049,              0.0012049,              0.0012049
                     44,                0.58576,                0.47178,                 1.0216,                0.82845,                0.75915,                0.79451,                0.56327,                 1.0187,                 0.8356,                 1.3367,              0.0011939,              0.0011939,              0.0011939
                     45,                0.58409,                0.47674,                 1.0189,                0.86202,                0.79725,                 0.8339,                0.61124,                0.91653,                0.79345,                 1.2961,              0.0011829,              0.0011829,              0.0011829
                     46,                0.58171,                0.46521,                 1.0179,                0.88366,                0.77664,                0.82562,                0.62301,                0.88292,                0.78788,                 1.2534,              0.0011719,              0.0011719,              0.0011719
                     47,                0.56619,                0.46434,                 1.0121,                0.83624,                0.76591,                0.80421,                0.59227,                 0.9244,                0.74322,                 1.3127,              0.0011609,              0.0011609,              0.0011609
                     48,                0.57539,                 0.4722,                 1.0288,                0.83517,                0.75702,                0.80975,                0.60913,                0.90593,                0.78211,                  1.241,              0.0011499,              0.0011499,              0.0011499
                     49,                0.57068,                0.46044,                 1.0091,                0.87501,                0.75476,                0.84193,                0.62603,                0.93708,                 0.7507,                  1.334,              0.0011389,              0.0011389,              0.0011389
                     50,                0.55578,                0.43643,                 1.0002,                0.89329,                0.75073,                0.84403,                0.63463,                0.93619,                0.72805,                 1.3124,              0.0011279,              0.0011279,              0.0011279
                     51,                0.54954,                0.43826,                 0.9999,                0.83992,                0.77773,                0.81223,                0.60377,                0.87897,                0.73017,                 1.2523,              0.0011169,              0.0011169,              0.0011169
                     52,                0.55136,                0.44708,                 1.0014,                0.84701,                0.75345,                0.80861,                0.59435,                0.94695,                0.75966,                 1.3482,              0.0011059,              0.0011059,              0.0011059
                     53,                0.54527,                0.43763,                 1.0036,                0.86582,                0.69415,                0.81794,                0.61143,                0.93075,                0.74357,                 1.3159,              0.0010949,              0.0010949,              0.0010949
                     54,                0.53746,                 0.4344,                0.99775,                0.80631,                0.80322,                 0.8405,                0.60787,                 0.9261,                0.68529,                 1.2921,              0.0010839,              0.0010839,              0.0010839
                     55,                0.53727,                 0.4304,                0.99538,                0.84882,                0.75377,                0.83829,                0.61633,                0.95323,                0.79502,                 1.3078,              0.0010729,              0.0010729,              0.0010729
                     56,                0.52512,                0.42546,                0.98353,                0.82606,                 0.7921,                0.83449,                0.62007,                0.90468,                0.68751,                 1.3049,              0.0010619,              0.0010619,              0.0010619
                     57,                 0.5121,                0.41703,                0.98329,                0.87067,                0.74759,                0.84263,                0.63364,                0.90495,                0.66608,                 1.2883,              0.0010509,              0.0010509,              0.0010509
                     58,                0.52992,                0.42757,                0.98715,                0.85731,                0.75178,                 0.8369,                0.63825,                0.88764,                0.75874,                 1.3001,              0.0010399,              0.0010399,              0.0010399
                     59,                0.51961,                0.41247,                0.98891,                0.85452,                0.78758,                0.84239,                0.62819,                0.91037,                0.71626,                  1.294,              0.0010289,              0.0010289,              0.0010289
                     60,                 0.5082,                0.40447,                0.98058,                0.87553,                0.74393,                0.83007,                0.64166,                0.90508,                 0.7419,                 1.2945,              0.0010179,              0.0010179,              0.0010179
                     61,                0.50684,                0.40793,                0.97713,                0.87091,                0.73937,                0.81737,                0.61979,                0.90076,                0.75482,                 1.2806,              0.0010069,              0.0010069,              0.0010069
                     62,                0.50621,                0.40235,                 0.9735,                0.86485,                0.76484,                0.83728,                0.62545,                 0.8719,                0.74282,                 1.2831,             0.00099587,             0.00099587,             0.00099587
                     63,                 0.5097,                0.41083,                0.98859,                 0.8532,                0.71971,                0.80441,                0.61227,                0.85121,                0.78818,                 1.2598,             0.00098486,             0.00098486,             0.00098486
                     64,                0.51465,                0.41594,                0.98286,                0.86265,                0.74431,                0.82301,                0.61777,                0.90672,                0.77964,                 1.2822,             0.00097386,             0.00097386,             0.00097386
                     65,                0.50999,                0.40334,                0.98345,                0.85717,                0.75107,                0.83279,                0.62278,                0.91379,                0.74749,                 1.2891,             0.00096286,             0.00096286,             0.00096286
                     66,                0.50294,                0.39853,                0.97741,                0.83045,                0.78187,                0.83317,                0.62575,                0.89433,                0.72208,                 1.2918,             0.00095186,             0.00095186,             0.00095186
                     67,                0.48835,                0.38572,                0.96751,                0.85939,                0.73417,                0.82703,                0.61819,                0.87711,                0.67828,                 1.2287,             0.00094085,             0.00094085,             0.00094085
                     68,                 0.4987,                0.38645,                0.97253,                0.88644,                0.74881,                0.83962,                0.63742,                0.90528,                0.70224,                 1.2861,             0.00092985,             0.00092985,             0.00092985
                     69,                0.49978,                0.39345,                0.97391,                 0.8764,                0.75281,                0.80599,                0.62298,                0.87451,                0.79107,                 1.2329,             0.00091885,             0.00091885,             0.00091885
                     70,                0.47745,                0.37653,                0.96087,                0.85027,                0.77221,                0.82997,                0.62402,                0.88973,                0.77581,                 1.2881,             0.00090785,             0.00090785,             0.00090785
                     71,                0.47755,                0.38033,                0.96624,                0.85884,                0.77488,                0.83794,                0.62143,                0.90627,                 0.7279,                 1.3005,             0.00089685,             0.00089685,             0.00089685
                     72,                0.47417,                0.38167,                0.96304,                0.80399,                0.81381,                0.82457,                0.61322,                0.89457,                0.76799,                 1.3093,             0.00088584,             0.00088584,             0.00088584
                     73,                0.47592,                0.37768,                0.96297,                 0.8544,                0.74876,                 0.8298,                0.61541,                0.88612,                0.75802,                 1.2895,             0.00087484,             0.00087484,             0.00087484
                     74,                 0.4658,                0.36541,                0.96045,                0.87153,                0.74487,                0.82498,                0.61338,                 0.9017,                0.76993,                 1.2827,             0.00086384,             0.00086384,             0.00086384
                     75,                0.46689,                0.37423,                0.96226,                0.74072,                0.80148,                0.82147,                0.62558,                0.88393,                0.71729,                  1.282,             0.00085284,             0.00085284,             0.00085284
                     76,                0.47104,                0.36471,                0.95812,                 0.8666,                0.77198,                  0.833,                0.63218,                0.90605,                0.70441,                 1.2704,             0.00084184,             0.00084184,             0.00084184
                     77,                0.46338,                0.36206,                 0.9561,                0.84194,                0.80976,                0.84863,                0.64119,                0.89717,                0.70199,                 1.3232,             0.00083083,             0.00083083,             0.00083083
